TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
4-May-12,177.98,183.99,178.15,180.48,2206666
3-May-12,174.73,178.49,175,177.98,450477
2-May-12,172.11,177,173,174.73,405215
30-Apr-12,174.54,175,170.75,172.11,364294
27-Apr-12,175.65,177.48,173.5,174.54,324095
26-Apr-12,179.32,182,174,175.65,1340136
25-Apr-12,176.57,183.3,177,179.32,1901636
24-Apr-12,174.28,178,174.5,176.57,1673122
23-Apr-12,171.42,174.89,171.6,174.28,283659
20-Apr-12,172.15,174,171,171.42,250460
19-Apr-12,173.3,174.45,170.85,172.15,574062
18-Apr-12,168.41,174.75,169.49,173.3,1102618
17-Apr-12,168.73,170.7,168,168.41,235677
16-Apr-12,174.9,173.9,166.16,168.73,1581944
13-Apr-12,171.22,177.5,171.95,174.9,1625181
12-Apr-12,172.08,173.17,169.55,171.22,326406
11-Apr-12,173.29,175,171.05,172.08,686398
10-Apr-12,173.29,175.74,172.23,173.29,555789
9-Apr-12,173.8,175,172.2,173.29,136123
6-Apr-12,174.1,176,173.3,173.8,200314
5-Apr-12,176.59,177.5,174.01,174.1,662856
4-Apr-12,173.78,179.5,175,176.59,2239608
3-Apr-12,175.17,175.15,172.26,173.78,406557
2-Apr-12,175.44,176.9,174.02,175.17,473010
30-Mar-12,174.42,176.1,173.86,175.44,587224
29-Mar-12,170.88,176.9,170,174.42,1433261
28-Mar-12,167.45,173.79,167.99,170.88,1272770
27-Mar-12,162.95,169,162.8,167.45,862725
